2023.05.12 08:27:54 WARN  es[][o.e.t.ThreadPool] timer thread slept for [12h/43234463ms] on absolute clock which is above the warn threshold of [5000ms]
2023.05.12 15:11:17 INFO  es[][o.e.t.NettyAllocator] creating NettyAllocator with the following configs: [name=unpooled, suggested_max_allocation_size=256kb, factors={es.unsafe.use_unpooled_allocator=null, g1gc_enabled=true, g1gc_region_size=1mb, heap_size=512mb}]
2023.05.12 15:11:17 INFO  es[][o.e.i.r.RecoverySettings] using rate limit [40mb] with [default=40mb, read=0b, write=0b, max=0b]
2023.05.12 15:11:17 INFO  es[][o.e.d.DiscoveryModule] using discovery type [zen] and seed hosts providers [settings]
2023.05.12 15:11:17 INFO  es[][o.e.g.DanglingIndicesState] gateway.auto_import_dangling_indices is disabled, dangling indices will not be automatically detected or imported and must be managed manually
2023.05.12 15:11:17 INFO  es[][o.e.n.Node] initialized
2023.05.12 15:11:17 INFO  es[][o.e.n.Node] starting ...
2023.05.12 15:11:18 INFO  es[][o.e.t.TransportService] publish_address {127.0.0.1:36275}, bound_addresses {127.0.0.1:36275}
2023.05.12 15:11:18 WARN  es[][o.e.b.BootstrapChecks] max virtual memory areas vm.max_map_count [65530] is too low, increase to at least [262144]
2023.05.12 15:11:18 INFO  es[][o.e.c.c.Coordinator] cluster UUID [R5ra_3WjSga0oCXKOK-oZQ]
2023.05.12 15:11:18 INFO  es[][o.e.c.s.MasterService] elected-as-master ([1] nodes joined)[{sonarqube}{WktDxTcSRMCr6QQQ_fodfw}{_E6hJvhfS-CsLDknmKtoig}{127.0.0.1}{127.0.0.1:36275}{cdfhimrsw} elect leader, _BECOME_MASTER_TASK_, _FINISH_ELECTION_], term: 4, version: 84, delta: master node changed {previous [], current [{sonarqube}{WktDxTcSRMCr6QQQ_fodfw}{_E6hJvhfS-CsLDknmKtoig}{127.0.0.1}{127.0.0.1:36275}{cdfhimrsw}]}
2023.05.12 15:11:18 INFO  es[][o.e.c.s.ClusterApplierService] master node changed {previous [], current [{sonarqube}{WktDxTcSRMCr6QQQ_fodfw}{_E6hJvhfS-CsLDknmKtoig}{127.0.0.1}{127.0.0.1:36275}{cdfhimrsw}]}, term: 4, version: 84, reason: Publication{term=4, version=84}
2023.05.12 15:11:18 INFO  es[][o.e.h.AbstractHttpServerTransport] publish_address {127.0.0.1:9001}, bound_addresses {127.0.0.1:9001}
2023.05.12 15:11:18 INFO  es[][o.e.n.Node] started
2023.05.12 15:11:18 INFO  es[][o.e.g.GatewayService] recovered [7] indices into cluster_state
2023.05.12 15:11:20 INFO  es[][o.e.c.r.a.AllocationService] Cluster health status changed from [RED] to [GREEN] (reason: [shards started [[metadatas][0]]]).
2023.05.12 18:09:06 WARN  es[][o.e.t.ThreadPool] timer thread slept for [2.2m/132790ms] on absolute clock which is above the warn threshold of [5000ms]
